City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dryden,49.7833,-92.7503,269.31,80,100,2.57,CA,1732482722
84,george town,5.4112,100.3354,300.11,89,20,1.03,MY,1732482461
85,ribeira grande,38.5167,-28.7,288.37,72,75,2.57,PT,1732482731
86,ayr,55.4627,-4.6339,283.27,77,75,11.32,GB,1732482732
87,utrik,11.2278,169.8474,301.25,81,46,8.73,MH,1732482733
88,colonia,50.9333,6.95,289.37,60,0,6.17,DE,1732482734
89,blackmans bay,-43.0167,147.3167,285.75,94,98,2.4,AU,1732482735
90,walvis bay,-22.9575,14.5053,288.35,94,13,3.42,NA,1732482736
91,tarawa,1.419,172.984,303.2,74,20,4.63,KI,1732482738
92,ust-nera,64.5667,143.2,244.22,95,100,0.72,RU,1732482739
93,villa gesell,-37.2639,-56.973,293.55,82,53,10.57,AR,1732482740
94,kodiak,57.79,-152.4072,272.88,86,0,2.06,US,1732482491
95,tual,-5.6667,132.75,301.77,70,84,0.74,ID,1732482742
96,lazaro cardenas,17.9583,-102.2,301.77,69,4,4.09,MX,1732482743
97,yermentau,51.6214,73.1069,266.12,81,16,2.27,KZ,1732482744
98,chonchi,-42.6128,-73.8092,288.22,56,55,3.93,CL,1732482745
99,arraial do cabo,-22.9661,-42.0278,295.07,83,20,5.66,BR,1732482747
100,manta,-0.95,-80.7333,301.03,65,20,4.63,EC,1732482748
101,talnakh,69.4865,88.3972,265.29,94,100,8.9,RU,1732482749
102,shingu,33.7333,135.9833,279.61,84,1,3.07,JP,1732482750
103,lata,40.1629,-8.3327,290.63,78,99,8.08,PT,1732482751
104,kristiansund,63.1115,7.732,279.51,61,0,2.57,NO,1732482752
105,magadan,59.5667,150.8,260.47,61,55,4.81,RU,1732482753
106,san pedro,14.35,121.0167,299.78,87,40,3.58,PH,1732482629
107,myeik,12.4333,98.6,298.54,84,100,2.1,MM,1732482702
108,yellowknife,62.456,-114.3525,262.82,96,99,4.02,CA,1732482757
109,arauco,-37.2463,-73.3175,289.11,63,43,3.28,CL,1732482758
110,frankfort,-27.2667,28.4833,293.82,52,86,2.08,ZA,1732482759
111,nova xavantina,-14.6667,-52.35,299.31,86,49,1.41,BR,1732482760
112,martapura,-3.4167,114.85,298.2,100,100,0.51,ID,1732482761
113,buritis,-15.6178,-46.4233,295.87,91,50,1.59,BR,1732482762
114,hammerfest,70.6634,23.6821,273.4,93,75,5.66,NO,1732482763
115,mount pearl,47.5166,-52.7813,281.44,99,100,2.06,CA,1732482764
116,yuncheng,35.0231,110.9928,277.47,71,100,6.56,CN,1732482765
117,pisco,-13.7,-76.2167,295.18,73,0,3.09,PE,1732482652
118,east london,-33.0153,27.9116,296.11,90,33,5.72,ZA,1732482769
119,mariental,-24.6333,17.9667,302.63,18,74,7.05,NA,1732482770
120,fort-shevchenko,44.5086,50.263,280.37,59,7,5.02,KZ,1732482771
121,tazovsky,67.4667,78.7,274.01,98,100,8.65,RU,1732482772
122,hirara,24.8,125.2833,297.64,68,15,8.72,JP,1732482773
123,"laikit, laikit ii (dimembe)",1.4792,124.9735,294.62,94,20,0.51,ID,1732482774
124,la passe,45.5549,-0.8967,288.73,71,93,11.35,FR,1732482777
125,badger,64.8,-147.5333,265.58,88,75,1.54,US,1732482778
126,motygino,58.1831,94.7592,249.34,100,84,0.19,RU,1732482779
127,la gi,10.6667,107.7833,297.32,86,100,3.55,VN,1732482780
128,kiama,-34.6833,150.8667,294.1,85,93,1.34,AU,1732482781
129,namibe,-15.1961,12.1522,295.68,80,47,3.99,AO,1732482782
130,bluffton,32.2371,-80.8604,292.28,54,0,4.12,US,1732482783
131,papatowai,-46.5619,169.4708,286.48,72,86,5.06,NZ,1732482784
132,bredasdorp,-34.5322,20.0403,291.74,83,100,0.84,ZA,1732482785
133,port alfred,-33.5906,26.891,294.92,93,22,0.45,ZA,1732482786
134,mtinko,-4.55,34.85,291.36,85,99,0.77,TZ,1732482788
135,luderitz,-26.6481,15.1594,288.98,88,2,6.24,NA,1732482789
136,malango,-2.9627,119.9001,291.81,97,89,1.25,ID,1732482790
137,yugorsk,61.3133,63.3319,273.13,76,36,4.95,RU,1732482791
138,gelnica,48.8558,20.9371,271.1,88,89,1.47,SK,1732482792
139,sulakyurt,40.1573,33.716,269.34,78,8,2.32,TR,1732482793
140,howard springs,-12.497,131.047,297.66,97,96,1.77,AU,1732482795
141,vorkuta,67.5,64.0,269.39,94,100,6.21,RU,1732482796
142,vila franca do campo,37.7167,-25.4333,291.42,99,65,1.7,PT,1732482797
143,starotitarovskaya,45.2136,37.1439,276.41,68,100,9.61,RU,1732482798
144,hovd,48.0056,91.6419,264.01,62,100,1.26,MN,1732482799
145,manismata,-2.4667,111.0333,296.47,99,100,1.13,ID,1732482800
146,corner brook,48.9667,-57.9484,281.24,97,100,2.42,CA,1732482555
147,vilyuchinsk,52.9306,158.4028,273.3,89,98,3.15,RU,1732482803
148,saldanha,-33.0117,17.9442,289.78,91,100,5.47,ZA,1732482804
149,benghazi,32.1167,20.0667,289.45,56,0,5.86,LY,1732482805
150,camana,-16.6228,-72.7111,293.98,76,51,3.01,PE,1732482806
151,sona,45.4388,10.8255,279.5,82,75,1.03,IT,1732482807
152,chipinge,-20.1883,32.6236,291.84,76,77,2.77,ZW,1732482808
153,ancud,-41.8697,-73.8203,286.05,83,28,7.36,CL,1732482810
154,punta arenas,-53.15,-70.9167,284.21,54,75,4.63,CL,1732482693
155,sur,22.5667,59.5289,298.25,61,0,5.0,OM,1732482812
156,djibo,14.1022,-1.6306,299.1,14,5,4.33,BF,1732482813
157,remire-montjoly,4.9167,-52.2667,301.17,83,100,3.6,GF,1732482814
158,koungheul,13.9833,-14.8,302.84,16,2,1.48,SN,1732482815
159,puerto ayora,-0.7393,-90.3518,297.34,77,11,3.13,EC,1732482816
160,newman,37.3138,-121.0208,288.73,66,38,1.34,US,1732482817
161,sandy,40.572,-111.8606,278.52,63,75,3.09,US,1732482819
162,labytnangi,66.6572,66.4183,271.93,86,99,5.21,RU,1732482820
163,chilecito,-29.1619,-67.4974,307.31,27,9,8.86,AR,1732482821
164,kaohsiung,22.6163,120.3133,296.5,89,5,0.45,TW,1732482822
165,codrington,-38.2667,141.9667,288.27,87,100,4.52,AU,1732482823
166,buala,-8.145,159.5921,301.55,75,25,1.54,SB,1732482824
167,pangody,65.85,74.4859,274.62,91,100,9.74,RU,1732482825
168,ilanskiy,56.2358,96.065,262.42,95,100,3.31,RU,1732482826
